,,,Stevneuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor restituert føler du deg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor mange timer sov du i natt?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor stresset føler du deg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1RM,Øvelseskategori,Mandag,Sett,Reps,RPE,,,%,Vekt,,,Kommentar,"Knebøy, konkstil",Sett,1,2,3,4,5,6,7,8,,Sett,1,2,3,4,5,6,7,8,,,,Dag 1,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,Dag 1,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
,0,Knebøy,"Knebøy, konkstil",1,1,4,,,"75,00%",0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,Knebøy,,1,1,5,,,"80,00%",0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Knebøy,"Knebøy, konkstil",0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,Triceps,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,0,Knebøy,"Knebøy, konkstil",1,1,6,,,"85,00%",0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
